Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
438,4,0.5000,3.000,42.00,0.05660,0.993495,"YLL060C YOR074C YHR179W YPL171C"
439,4,0.5000,3.000,16.00,0.1111,0.918262,"YDR453C YIL039W YOR031W YJR085C"
440,15,0.4000,42.00,94.00,0.2530,0.292619,"YKL016C Q0085 YDL004W YJR121W Q0130 YLR393W YDR298C YPL078C YPR020W Q0080 YBL099W YML081C-A YDR377W YDR322C-A YPL271W"
441,19,0.5673,97.00,288.0,0.2293,0.879459,"YJR135C YDR383C YPL018W YDR318W YAL034W-A YLR315W YGL093W YOL054W YGR179C YGL060W YDR254W YLR381W YBR107C YGR006W YPL233W YPR046W YBR211C YNR062C YOR030W"
442,5,0.4000,4.000,48.00,0.06452,0.993697,"YAL018C YIL171W YML002W YGR250C YJL088W"
443,11,0.6000,33.00,129.0,0.1793,0.927503,"YHR029C YKL018W YHR119W YAR003W YPL138C YLR015W YBR175W YDR469W YBR258C YOR279C YPL029W"
444,4,0.5000,3.000,31.00,0.07143,0.780580,"YER106W YMR187C YLR320W YER130C"
445,5,0.4000,4.000,36.00,0.08000,0.997090,"YCR038C YPR122W YJL129C YIL140W YOR196C"
446,20,0.4684,89.00,252.0,0.2336,0.780292,"YNL330C YBR095C YNL097C YPL181W YDR207C YIL084C YAL013W YMR263W YKL185W YOR337W YPL139C YOL004W YPR023C YOR120W YFL031W YIL101C YMR075W YDL076C YGR263C YKL072W"
447,6,0.4000,6.000,65.00,0.07229,0.998574,"YNR047W YHR102W YBR235W YKL189W YBR001C YOR353C"
448,5,0.4000,4.000,43.00,0.07018,0.996093,"YJL154C YOR220W YKR011C YGL166W YHR070W"
449,4,0.5000,3.000,37.00,0.06250,0.967508,"YDR263C YMR291W YPL262W YEL012W"
450,4,0.5000,3.000,27.00,0.07895,0.851258,"YJR072C YLR243W YOR258W YOR262W"
451,5,0.4000,4.000,52.00,0.06061,0.997090,"YCL035C YKL198C YGR204W YIL137C YOR298C-A"
452,14,0.4066,37.00,170.0,0.1574,0.976306,"YDR311W YER171W YIL143C YPR056W YLR005W YOR046C YOR352W YDR079C-A YGR258C YPL122C YDR460W YPR025C YER168C YBR184W"
453,9,0.5833,21.00,66.00,0.2000,0.858619,"YEL003W YJL179W YDL074C YGR078C YML094W YLR212C YNL153C YLR200W YOR365C"
454,5,0.4000,4.000,47.00,0.06557,0.995995,"YOR125C YDR260C YOR303W YDR243C YLR183C"
455,7,0.4286,9.000,62.00,0.1059,0.997694,"YGL058W YDL020C YMR100W YML101C YJR102C YDR051C YLR024C"
456,5,0.4000,4.000,23.00,0.1081,0.979371,"YKL207W YKR076W YJL192C YJR088C YER056C"
457,5,0.4000,4.000,44.00,0.06897,0.996093,"YHR204W YLR371W YOR008C YNL187W YDL085W"
458,7,0.4286,9.000,48.00,0.1268,0.988201,"YLR394W YMR224C YFL003C YLR051C YDL154W YGL249W YBL044W"
459,6,0.4667,7.000,84.00,0.06796,0.997688,"YOR247W YNL216W YLR223C YPR104C YCL031C YDR223W"
460,5,0.5000,5.000,34.00,0.1020,0.980981,"YIL020C YAL047C YLR179C YJL114W YJL113W"
461,5,0.4000,4.000,34.00,0.08333,0.955658,"YHR204W YCL043C YBR093C YAR071W YFR055W"
462,5,0.4000,4.000,41.00,0.07273,0.992647,"YPR049C YLR089C YDR022C YPL166W YIL146C"
463,5,0.4000,4.000,35.00,0.08163,0.994912,"YNL291C YBR171W YER053C YJR160C YDL245C"
464,6,0.4000,6.000,62.00,0.07500,0.998549,"YCR073W-A YLR028C YNR034W YBR228W YOR393W YLR273C"
465,13,0.4231,33.00,92.00,0.2185,0.912413,"YGR132C YJL183W YGR231C YDR245W YGL167C YMR089C YJR075W YPL050C YEL036C YML115C YIL146C YER017C YIR028W"
466,6,0.4667,7.000,58.00,0.09091,0.982140,"YFL036W YNL233W YBL061C YDL044C YLR139C YLR067C"
467,6,0.4000,6.000,53.00,0.08451,0.995756,"YLR043C YGR209C YPR167C YKL069W YER042W YHR199C"
468,5,0.4000,4.000,34.00,0.08333,0.984701,"YMR021C YGR142W YJR127C YBL091C YMR144W"
469,5,0.4000,4.000,58.00,0.05556,0.997012,"YNL199C YGR184C YPL177C YGL081W YPR048W"
470,6,0.4000,6.000,48.00,0.09091,0.887995,"YIL078W YMR099C YJL208C TR(UCU)Q1 YKR079C YDL234C"
471,5,0.4000,4.000,33.00,0.08511,0.958167,"YDL149W YNL242W YHR024C YLR065C YLR431C"
472,11,0.4182,23.00,78.00,0.1870,0.804626,"YIR002C YER038C YDR288W YLR007W YEL019C YOL034W YLR383W YML023C YMR284W YDL105W YIR019C"
473,14,0.4066,37.00,152.0,0.1705,0.990214,"YJL178C YGR163W YBR207W YOR316C YDL123W YLL048C YGL006W YML018C YGL023C YKR007W YHR175W YDR105C YOL129W YDR352W"
474,5,0.4000,4.000,42.00,0.07143,0.996652,"YMR261C YLR345W YJL155C YMR310C YOR219C"
475,6,0.4000,6.000,43.00,0.09836,0.877882,"YDR013W YKL026C YGL113W YJL090C YOR060C YHR144C"
476,5,0.4000,4.000,39.00,0.07547,0.990378,"YGR017W YFL042C YLR403W YOR025W YKR063C"
477,7,0.5238,11.00,36.00,0.1803,0.912793,"YMR029C YMR052W YLR238W YJL082W YDR200C YFR008W YPL130W"
478,4,0.6667,4.000,8.000,0.2000,0.228385,"YBR070C YGL047W YGR036C YBR243C"
479,4,1.000,6.000,41.00,0.1091,0.916825,"YDR062W YGR038W YMR296C YBR058C-A"
480,11,0.8182,45.00,56.00,0.3659,0.0874703,"TL(CAA)A YGR047C YAL001C YBR123C TL(UAA)J YOR110W YPL007C YDR362C TY(GUA)J2 TL(CAA)G2 TL(CAA)C"
481,6,0.6000,9.000,24.00,0.2000,0.774232,"YNL032W YHL029C YNL099C YCR095C YDR067C YNL056W"
482,4,0.6667,4.000,27.00,0.1026,0.904367,"YMR099C YJL208C TR(UCU)Q1 YKR079C"
483,7,0.4286,9.000,73.00,0.09375,0.995035,"YBR205W YHR181W YPL050C YEL036C YHL031C YMR088C YML115C"
484,9,0.4167,15.00,73.00,0.1415,0.972662,"YBR151W YNL126W YLR045C YLR212C YNL188W YAL047C YHR172W YJL113W YBL086C"
485,5,0.4000,4.000,30.00,0.09091,0.977546,"YHR042W YBR180W YPL092W YBR021W YAL067C"
486,7,0.4286,9.000,141.0,0.05488,0.999187,"YGR214W YBL087C YER117W YPL208W YDL171C YNL297C YDR361C"
487,5,0.4000,4.000,45.00,0.06780,0.995150,"YDR306C YER043C YDR034C YIR007W YFL028C"
488,6,0.4000,6.000,50.00,0.08824,0.994968,"YLR394W YFL009W YFL003C YFL031W YDL154W YGL170C"
489,5,0.4000,4.000,39.00,0.07547,0.995031,"YPL191C YHL009W-B YLR082C YOR057W YNR043W"
490,5,0.4000,4.000,36.00,0.08000,0.955157,"YBR115C YAL059W YGL254W YGL154C YPR108W-A"
491,7,0.4286,9.000,88.00,0.08108,0.973957,"YHL002W YGR268C YOR124C YKL192C YOR138C YCR048W YMR084W"
492,6,0.4000,6.000,59.00,0.07792,0.917823,"YOR047C YDR277C YDL138W YKL038W YDL194W YOR302W"
493,5,0.4000,4.000,27.00,0.09756,0.993551,"YGR207C YNR058W YIL108W YNL254C YDR488C"
494,5,0.4000,4.000,29.00,0.09302,0.962680,"YNL054W-B YER081W YHR215W YBR276C YDR105C"
495,6,0.4000,6.000,47.00,0.09231,0.996526,"YPR030W YOR043W YLL010C YLR019W YGR057C YKL015W"
496,5,0.4000,4.000,32.00,0.08696,0.834726,"YDR259C YKL071W YPL157W YNR012W YGR066C"
497,7,0.4286,9.000,66.00,0.1011,0.993114,"YLL001W YIL152W YKR036C YIL065C YBL029W YJL112W YJR003C"
498,10,0.4222,19.00,66.00,0.1810,0.778009,"YHR083W YNL026W YMR137C YJR144W YNL070W YMR203W YLL006W YAL010C YMR060C YOL009C"
499,7,0.4286,9.000,62.00,0.1059,0.835099,"YKL004W YMR010W YNR028W YDR367W YDR483W YDR068W YLR020C"
500,7,0.4286,9.000,62.00,0.1059,0.987358,"YOR236W YIL034C YGR080W YKL007W YDR380W YIR003W YFR016C"
501,6,0.4000,6.000,27.00,0.1333,0.979202,"YHR188C YDR434W YLR459W YLR088W YIL088C YHL017W"
502,6,0.4000,6.000,46.00,0.09375,0.959655,"YMR043W YNL238W YOL031C YCL067C YCL066W YCR097W"
503,5,0.4000,4.000,30.00,0.09091,0.987957,"YOR127W YOR049C YMR204C YJL185C YDR186C"
504,5,0.4000,4.000,30.00,0.09091,0.979696,"YJL091C YBL040C YOL020W YLR066W YJR100C"
505,5,0.4000,4.000,42.00,0.07143,0.992801,"YNL286W YOR284W YLR227C YOR148C YAL048C"
506,12,0.4242,28.00,77.00,0.2171,0.679411,"YOR275C YKR035W-A YPR173C YDR486C YLR181C YNL265C YER128W YMR077C YKL041W YLR025W YKL002W YGR194C"
507,5,0.4000,4.000,29.00,0.09302,0.980341,"YHR105W YOR292C YNL204C YML116W YOR034C"
508,5,0.4000,4.000,38.00,0.07692,0.992801,"YGL225W YDR086C YPL176C YPL189W YPR071W"
509,5,0.4000,4.000,38.00,0.07692,0.992647,"YCR028C YJL004C YPL051W YIL111W YHL017W"
510,6,0.4000,6.000,71.00,0.06742,0.996370,"YDR233C YDL089W YER087C-B YOR285W YPL154C YDL204W"
511,4,0.8333,5.000,18.00,0.1613,0.907062,"YJL184W YKR038C YKR095W-A YML036W"
512,15,0.5238,55.00,116.0,0.2736,0.638999,"YGL001C YMR202W YNL280C YML008C YHR190W YLL012W YLR056W YLR100W YMR015C YGR175C YGL012W YLL063C YHR072W YER044C YLR077W"
513,9,0.6667,24.00,91.00,0.1805,0.998124,"YBR102C YDR166C YJL085W YPR114W YGL233W YER008C YIL068C YPR055W YNR049C"
514,6,0.4000,6.000,61.00,0.07595,0.998717,"YPR029C YLR170C YBR252W YBR019C YDL079C YFR043C"
515,5,0.4000,4.000,50.00,0.06250,0.995995,"YDR342C YOR045W YCL039W YBL036C YGR087C"
516,6,0.4000,6.000,48.00,0.09091,0.992669,"YMR264W YOR045W YBR295W YIL030C YKL209C YMR022W"
517,4,0.5000,3.000,24.00,0.08571,0.987673,"YJL125C YNL062C YER030W YBL067C"
518,4,0.5000,3.000,21.00,0.09375,0.795824,"YMR201C YKL011C YIL011W YHR144C"
519,5,0.8000,8.000,54.00,0.1111,0.996934,"YBR114W YGR003W YJR052W YPL046C YKL112W"
520,7,0.4286,9.000,60.00,0.1084,0.938855,"YML057W YKL159C YLR433C YKL190W YOR324C YPR153W YMR211W"
