Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
486,2,0.7000,0.7000,0.000,0.1489,0.0969654,"YLR239C YAL044C"
487,6,0.4007,6.010,85.04,0.05832,0.594909,"YGL106W YLR429W YBL079W YML011C YER048C YNL073W"
488,6,0.4027,6.040,44.59,0.09644,0.235585,"YGL106W YBR109C YBR130C YML034W YMR071C YOR127W"
489,4,0.4533,2.720,6.380,0.1591,0.332503,"YPR116W YML091C YHR054C YJL023C"
490,5,0.4240,4.240,11.05,0.1677,0.582734,"YHL034C YGR272C YMR014W YGR271C-A YNL255C"
491,2,0.4000,0.4000,0.000,0.09091,0.0969654,"YMR144W YGR142W"
492,4,0.4383,2.630,10.45,0.1248,0.843839,"YER151C YMR173W YOL109W YMR118C"
493,6,0.4240,6.360,43.60,0.1026,0.344202,"YMR186W YPL240C YFR048W YGR123C YAL028W YOR027W"
494,6,0.4253,6.380,43.58,0.1030,0.344202,"YMR186W YPL240C YFR048W YGR123C YBL104C YOR027W"
495,6,0.4100,6.150,43.81,0.09926,0.344202,"YMR186W YPL240C YFR048W YGR123C YDL048C YOR027W"
496,6,0.4240,6.360,43.60,0.1026,0.344202,"YMR186W YPL240C YFR048W YGR123C YEL070W YOR027W"
497,6,0.4100,6.150,43.81,0.09926,0.344202,"YMR186W YPL240C YFR048W YGR123C YER020W YOR027W"
498,6,0.4240,6.360,43.60,0.1026,0.344202,"YMR186W YPL240C YFR048W YGR123C YJR139C YOR027W"
499,4,0.4150,2.490,3.320,0.1803,0.233913,"YMR259C YBR061C YGR108W YPL183C"
500,2,0.4200,0.4200,0.000,0.09502,0.0969654,"YMR291W YDR263C"
501,2,0.8800,0.8800,0.000,0.1803,0.0969654,"YNL134C YCR102C"
502,7,0.4000,8.400,41.26,0.1320,0.738777,"YLR175W YNL308C YDL208W YCL059C YMR290C YNL227C YPL009C"
503,7,0.4348,9.130,15.16,0.2384,0.153076,"YBR278W YCL032W YDR121W YNL262W YPR175W YBR185C YHR046C"
504,6,0.4200,6.300,21.74,0.1573,0.287252,"YBR109C YGL242C YMR109W YKL122C YKL129C YOL016C"
505,7,0.4033,8.470,48.93,0.1186,0.423838,"YGL106W YBR109C YBR130C YOR326W YLR288C YOR035C YOR127W"
506,5,0.4600,4.600,7.000,0.2130,0.337587,"YOR124C YER125W YMR275C YGR061C YOR138C"
507,5,0.4250,4.250,40.76,0.07726,0.416002,"YDR174W YMR044W YBR245C YLR095C YOR172W"
508,2,0.7600,0.7600,0.000,0.1597,0.0969654,"YOR185C YGL164C"
509,4,0.4383,2.630,45.81,0.04660,0.903035,"YLR150W YBR017C YGL122C YOR359W"
510,2,0.9200,0.9200,0.000,0.1870,0.0969654,"YPL122C YDR079C-A"
511,9,0.4669,16.81,23.90,0.2863,0.0165746,"YPR034W YJL176C YOR290C YHL025W YFL049W YNR023W YBR289W YPL016W YIL177C"
512,9,0.4669,16.81,23.90,0.2863,0.0165746,"YPR034W YJL176C YOR290C YHL025W YFL049W YNR023W YBR289W YPL016W YOR156C"
