Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
440,6,0.6000,9.000,123.0,0.06250,0.973512,"YDL208W YGR280C YHR089C YOR004W YGR283C YMR310C"
441,3,0.6667,2.000,23.00,0.06452,0.986587,"YGR280C YMR269W YMR302C"
442,3,0.6667,2.000,9.000,0.1176,0.978443,"YGL021W YLL015W YNR070W"
443,4,0.6667,4.000,16.00,0.1429,0.927975,"YDR267C YNL240C YHR044C YHR122W"
444,4,0.6667,4.000,44.00,0.07143,0.993216,"YDR088C YLR433C YGR006W YDL144C"
445,33,0.6061,320.0,912.0,0.2465,0.954279,"YOR261C YER012W YFR052W YOL038W YMR314W YIL075C YDR427W YFR010W YER021W YDR363W-A YGL048C YMR191W YDL097C YKL145W YOR362C YDR394W YEL037C YPR108W YOR259C YHL030W YJL001W YDL007W YDL147W YCR014C YBL041W YIL007C YLR421C YDL020C YGL004C YBR272C YGR232W YML092C YDL036C"
446,3,0.6667,2.000,6.000,0.1429,0.815656,"YEL021W YMR074C YNL256W"
447,4,0.6667,4.000,27.00,0.1026,0.993216,"YMR270C YBL025W YLR141W YOR295W"
448,5,0.6000,6.000,84.00,0.06000,0.878340,"YPL256C YKR091W YBR135W YKL092C YPL014W"
449,7,0.6190,13.00,80.00,0.1215,0.992735,"YGL161C YHR105W YGL198W YGR172C YPL095C YDR425W YDR084C"
450,6,0.6000,9.000,64.00,0.1059,0.937906,"YGR082W YNL131W YMR203W YPR133W-A YNL003C YLR168C"
451,5,0.7000,7.000,50.00,0.1045,0.988183,"YGL058W YDL020C YMR100W YDR051C YLR024C"
452,4,0.6667,4.000,76.00,0.04545,0.990291,"YGR091W YHR034C YKL170W YPL193W"
453,5,0.6000,6.000,33.00,0.1224,0.929992,"YFL036W YDL044C YLR139C YLR067C YMR136W"
454,8,0.6071,17.00,82.00,0.1478,0.868676,"YBR221C YER178W YDR430C YNL071W YGR193C YFL018C YCR079W YIL042C"
455,4,0.6667,4.000,20.00,0.1250,0.987210,"YMR204C YOR193W YPL112C YDR329C"
456,3,0.6667,2.000,5.000,0.1538,0.839842,"YOR130C YNR002C YGL027C"
457,7,0.6190,13.00,69.00,0.1354,0.991582,"YNL126W YLR045C YLR212C YNL188W YAL047C YHR172W YBL086C"
458,5,0.6000,6.000,79.00,0.06316,0.416002,"YDR414C YGR199W YGL259W YHL042W YHR032W"
459,5,0.6000,6.000,27.00,0.1395,0.802669,"YBR044C YDL120W YLL041C YKL148C YOL071W"
460,5,0.6000,6.000,44.00,0.1000,0.878340,"YPR007C YIL026C YMR076C YMR023C YDR014W"
461,18,0.6013,92.00,559.0,0.1339,0.999967,"YGR060W YCR034W YHR140W YER026C YPL274W YDR331W YMR215W YDR297W YPL076W YBR036C YPL227C YMR058W YKL154W YIL016W YPL264C YJL196C YOL003C YGR125W"
462,5,0.6000,6.000,50.00,0.09091,0.982773,"YIL034C YGR080W YKL007W YDR380W YFR016C"
463,5,0.6000,6.000,67.00,0.07229,0.854827,"YNL161W YOL036W YFL034C-B YDR528W YIR016W"
464,6,0.6000,9.000,299.0,0.02813,0.987765,"YLR197W YOR310C YKL014C YCR060W YOL144W YJL162C"
465,5,0.6000,6.000,26.00,0.1429,0.777646,"YMR043W YCL067C YCL066W YCR039C YCR097W"
466,53,0.6016,829.0,2277,0.2581,0.912926,"YNL110C YNR053C YKL172W YDR412W YHR085W YLR009W YNL061W YCR072C YPR016C YMR290C YLR002C YER006W YDL031W YFL002C YPL131W YDR060W YOR206W YKR081C YNL182C YER126C YPL211W YHR052W YLL045C YGR103W YHR066W YKL021C YDR101C YLL008W YPL093W YOL127W YKL009W YMR049C YLL034C YDR087C YHR197W YLR449W YOR063W YLR325C YOL077C YJL122W YPR017C YHR088W YNL002C YFR001W YLR074C YDR496C YLR106C YGL111W YOR272W YAL059W YLR397C YGR245C YCL064C"
467,7,0.6667,14.00,21.00,0.2857,0.0637564,"YHR005C-A YDL217C YOR297C YBR091C YJL054W YAR023C YEL020W-A"
468,5,0.6000,6.000,27.00,0.1395,0.294405,"YGR181W YJR135W-A YKL195W YLL018C-A YKL084W"
469,10,0.6000,27.00,82.00,0.2093,0.873290,"YLR203C YGL187C Q0045 YML129C YNL052W YGR112W YIL157C YJL062W-A YPL189C-A YHR051W"
470,7,0.6667,14.00,21.00,0.2857,0.0573694,"YHR005C-A YDL217C YOR297C YBR091C YJL054W YEL020W-A YLR348C"
471,4,0.6667,4.000,131.0,0.02797,0.672384,"YGR103W YMR076C YMR023C YHR038W"
472,5,0.6000,6.000,34.00,0.1200,0.804166,"YML099C YMR043W YDR173C YMR042W YGR122W"
473,5,0.6000,6.000,96.00,0.05357,0.964315,"YOL005C YGR116W YPR133C YGR063C YBR259W"
